timestamp,version,input_set,population,bits,generations,mutation_rate,seed,threads,run,elapsed_seconds,best_fitness
2026-09-17T14:59:46-03:00,paralelizado,pequeno,1000,1000,100,0.001,42,16,3,0.039839,847
2026-09-17T14:59:46-03:00,paralelizado,pequeno,1000,1000,100,0.001,42,16,4,0.040108,847
2026-09-17T14:59:46-03:00,paralelizado,pequeno,1000,1000,100,0.001,42,16,5,0.039752,847
2026-09-17T14:59:46-03:00,paralelizado,pequeno,1000,1000,100,0.001,42,16,6,0.039869,847
2026-09-17T14:59:46-03:00,paralelizado,pequeno,1000,1000,100,0.001,42,16,7,0.039416,847
2026-09-17T14:59:46-03:00,paralelizado,pequeno,1000,1000,100,0.001,42,16,8,0.039481,847
2026-09-17T14:59:46-03:00,paralelizado,pequeno,1000,1000,100,0.001,42,16,9,0.039635,847
2026-09-17T14:59:46-03:00,paralelizado,pequeno,1000,1000,100,0.001,42,16,10,0.039373,847
2026-09-17T14:59:47-03:00,paralelizado,pequeno,1000,1000,100,0.001,42,20,1,0.033919,847
2026-09-17T14:59:47-03:00,paralelizado,pequeno,1000,1000,100,0.001,42,20,2,0.033374,847
2026-09-17T14:59:47-03:00,paralelizado,pequeno,1000,1000,100,0.001,42,20,3,0.033390,847
2026-09-17T14:59:47-03:00,paralelizado,pequeno,1000,1000,100,0.001,42,20,4,0.033824,847
2026-09-17T14:59:47-03:00,paralelizado,pequeno,1000,1000,100,0.001,42,20,5,0.033480,847
2026-09-17T14:59:47-03:00,paralelizado,pequeno,1000,1000,100,0.001,42,20,6,0.033479,847
2026-09-17T14:59:47-03:00,paralelizado,pequeno,1000,1000,100,0.001,42,20,7,0.033499,847
2026-09-17T14:59:47-03:00,paralelizado,pequeno,1000,1000,100,0.001,42,20,8,0.034483,847
2026-09-17T14:59:47-03:00,paralelizado,pequeno,1000,1000,100,0.001,42,20,9,0.034745,847
2026-09-17T14:59:47-03:00,paralelizado,pequeno,1000,1000,100,0.001,42,20,10,0.033425,847
2026-09-17T14:59:49-03:00,sequencial,medio,2000,2000,100,0.0005,42,1,1,1.792065,1522
2026-09-17T14:59:51-03:00,sequencial,medio,2000,2000,100,0.0005,42,1,2,1.799200,1522
2026-09-17T14:59:52-03:00,sequencial,medio,2000,2000,100,0.0005,42,1,3,1.791628,1522
2026-09-17T14:59:54-03:00,sequencial,medio,2000,2000,100,0.0005,42,1,4,1.815596,1522
2026-09-17T14:59:56-03:00,sequencial,medio,2000,2000,100,0.0005,42,1,5,1.800114,1522
2026-09-17T14:59:58-03:00,sequencial,medio,2000,2000,100,0.0005,42,1,6,1.789230,1522
2026-09-17T15:00:00-03:00,sequencial,medio,2000,2000,100,0.0005,42,1,7,1.802779,1522
2026-09-17T15:00:01-03:00,sequencial,medio,2000,2000,100,0.0005,42,1,8,1.790332,1522
2026-09-17T15:00:03-03:00,sequencial,medio,2000,2000,100,0.0005,42,1,9,1.787314,1522
2026-09-17T15:00:05-03:00,sequencial,medio,2000,2000,100,0.0005,42,1,10,1.793009,1522
2026-09-17T15:00:07-03:00,paralelizado,medio,2000,2000,100,0.0005,42,1,1,1.772411,1522
2026-09-17T15:00:09-03:00,paralelizado,medio,2000,2000,100,0.0005,42,1,2,1.771309,1522
2026-09-17T15:00:10-03:00,paralelizado,medio,2000,2000,100,0.0005,42,1,3,1.781482,1522
2026-09-17T15:00:12-03:00,paralelizado,medio,2000,2000,100,0.0005,42,1,4,1.772360,1522
2026-09-17T15:00:14-03:00,paralelizado,medio,2000,2000,100,0.0005,42,1,5,1.780969,1522
2026-09-17T15:00:16-03:00,paralelizado,medio,2000,2000,100,0.0005,42,1,6,1.775542,1522
2026-09-17T15:00:18-03:00,paralelizado,medio,2000,2000,100,0.0005,42,1,7,1.773748,1522
2026-09-17T15:00:19-03:00,paralelizado,medio,2000,2000,100,0.0005,42,1,8,1.779903,1522
2026-09-17T15:00:21-03:00,paralelizado,medio,2000,2000,100,0.0005,42,1,9,1.772796,1522
2026-09-17T15:00:23-03:00,paralelizado,medio,2000,2000,100,0.0005,42,1,10,1.773309,1522
2026-09-17T15:00:24-03:00,paralelizado,medio,2000,2000,100,0.0005,42,2,1,0.905473,1522
2026-09-17T15:00:25-03:00,paralelizado,medio,2000,2000,100,0.0005,42,2,2,0.919428,1522
2026-09-17T15:00:26-03:00,paralelizado,medio,2000,2000,100,0.0005,42,2,3,0.906730,1522
2026-09-17T15:00:27-03:00,paralelizado,medio,2000,2000,100,0.0005,42,2,4,0.903783,1522
2026-09-17T15:00:27-03:00,paralelizado,medio,2000,2000,100,0.0005,42,2,5,0.901078,1522
2026-09-17T15:00:28-03:00,paralelizado,medio,2000,2000,100,0.0005,42,2,6,0.903104,1522
2026-09-17T15:00:29-03:00,paralelizado,medio,2000,2000,100,0.0005,42,2,7,0.914162,1522
2026-09-17T15:00:30-03:00,paralelizado,medio,2000,2000,100,0.0005,42,2,8,0.904882,1522
2026-09-17T15:00:31-03:00,paralelizado,medio,2000,2000,100,0.0005,42,2,9,0.903142,1522
2026-09-17T15:00:32-03:00,paralelizado,medio,2000,2000,100,0.0005,42,2,10,0.905722,1522
2026-09-17T15:00:33-03:00,paralelizado,medio,2000,2000,100,0.0005,42,4,1,0.506859,1522
2026-09-17T15:00:33-03:00,paralelizado,medio,2000,2000,100,0.0005,42,4,2,0.507795,1522
2026-09-17T15:00:34-03:00,paralelizado,medio,2000,2000,100,0.0005,42,4,3,0.507820,1522
2026-09-17T15:00:34-03:00,paralelizado,medio,2000,2000,100,0.0005,42,4,4,0.522948,1522
2026-09-17T15:00:35-03:00,paralelizado,medio,2000,2000,100,0.0005,42,4,5,0.509641,1522
2026-09-17T15:00:35-03:00,paralelizado,medio,2000,2000,100,0.0005,42,4,6,0.508214,1522
2026-09-17T15:00:36-03:00,paralelizado,medio,2000,2000,100,0.0005,42,4,7,0.508149,1522
2026-09-17T15:00:36-03:00,paralelizado,medio,2000,2000,100,0.0005,42,4,8,0.507113,1522
2026-09-17T15:00:37-03:00,paralelizado,medio,2000,2000,100,0.0005,42,4,9,0.507271,1522
2026-09-17T15:00:37-03:00,paralelizado,medio,2000,2000,100,0.0005,42,4,10,0.508214,1522
2026-09-17T15:00:38-03:00,paralelizado,medio,2000,2000,100,0.0005,42,8,1,0.271464,1522
2026-09-17T15:00:38-03:00,paralelizado,medio,2000,2000,100,0.0005,42,8,2,0.272813,1522
2026-09-17T15:00:38-03:00,paralelizado,medio,2000,2000,100,0.0005,42,8,3,0.272400,1522
2026-09-17T15:00:38-03:00,paralelizado,medio,2000,2000,100,0.0005,42,8,4,0.272136,1522
2026-09-17T15:00:39-03:00,paralelizado,medio,2000,2000,100,0.0005,42,8,5,0.271957,1522
2026-09-17T15:00:39-03:00,paralelizado,medio,2000,2000,100,0.0005,42,8,6,0.299891,1522
2026-09-17T15:00:39-03:00,paralelizado,medio,2000,2000,100,0.0005,42,8,7,0.272346,1522
2026-09-17T15:00:40-03:00,paralelizado,medio,2000,2000,100,0.0005,42,8,8,0.276936,1522
2026-09-17T15:00:40-03:00,paralelizado,medio,2000,2000,100,0.0005,42,8,9,0.272796,1522
2026-09-17T15:00:40-03:00,paralelizado,medio,2000,2000,100,0.0005,42,8,10,0.272767,1522
2026-09-17T15:00:40-03:00,paralelizado,medio,2000,2000,100,0.0005,42,16,1,0.150871,1522
2026-09-17T15:00:40-03:00,paralelizado,medio,2000,2000,100,0.0005,42,16,2,0.148908,1522
2026-09-17T15:00:41-03:00,paralelizado,medio,2000,2000,100,0.0005,42,16,3,0.148333,1522
2026-09-17T15:00:41-03:00,paralelizado,medio,2000,2000,100,0.0005,42,16,4,0.148956,1522
2026-09-17T15:00:41-03:00,paralelizado,medio,2000,2000,100,0.0005,42,16,5,0.148300,1522
2026-09-17T15:00:41-03:00,paralelizado,medio,2000,2000,100,0.0005,42,16,6,0.149779,1522
2026-09-17T15:00:41-03:00,paralelizado,medio,2000,2000,100,0.0005,42,16,7,0.149295,1522
2026-09-17T15:00:41-03:00,paralelizado,medio,2000,2000,100,0.0005,42,16,8,0.148419,1522
2026-09-17T15:00:42-03:00,paralelizado,medio,2000,2000,100,0.0005,42,16,9,0.147809,1522
2026-09-17T15:00:42-03:00,paralelizado,medio,2000,2000,100,0.0005,42,16,10,0.149778,1522
2026-09-17T15:00:42-03:00,paralelizado,medio,2000,2000,100,0.0005,42,20,1,0.124392,1522
2026-09-17T15:00:42-03:00,paralelizado,medio,2000,2000,100,0.0005,42,20,2,0.123105,1522
2026-09-17T15:00:42-03:00,paralelizado,medio,2000,2000,100,0.0005,42,20,3,0.123274,1522
2026-09-17T15:00:42-03:00,paralelizado,medio,2000,2000,100,0.0005,42,20,4,0.123190,1522
2026-09-17T15:00:42-03:00,paralelizado,medio,2000,2000,100,0.0005,42,20,5,0.123116,1522
2026-09-17T15:00:43-03:00,paralelizado,medio,2000,2000,100,0.0005,42,20,6,0.123638,1522
2026-09-17T15:00:43-03:00,paralelizado,medio,2000,2000,100,0.0005,42,20,7,0.124314,1522
2026-09-17T15:00:43-03:00,paralelizado,medio,2000,2000,100,0.0005,42,20,8,0.123517,1522
2026-09-17T15:00:43-03:00,paralelizado,medio,2000,2000,100,0.0005,42,20,9,0.123716,1522
2026-09-17T15:00:43-03:00,paralelizado,medio,2000,2000,100,0.0005,42,20,10,0.124407,1522
2026-09-17T15:00:47-03:00,sequencial,grande,4000,2000,100,0.0005,42,1,1,3.572863,1575
2026-09-17T15:00:50-03:00,sequencial,grande,4000,2000,100,0.0005,42,1,2,3.570797,1575
2026-09-17T15:00:54-03:00,sequencial,grande,4000,2000,100,0.0005,42,1,3,3.569355,1575
2026-09-17T15:00:58-03:00,sequencial,grande,4000,2000,100,0.0005,42,1,4,3.576572,1575
2026-09-17T15:01:01-03:00,sequencial,grande,4000,2000,100,0.0005,42,1,5,3.566641,1575
2026-09-17T15:01:05-03:00,sequencial,grande,4000,2000,100,0.0005,42,1,6,3.563568,1575
2026-09-17T15:01:08-03:00,sequencial,grande,4000,2000,100,0.0005,42,1,7,3.560715,1575
2026-09-17T15:01:12-03:00,sequencial,grande,4000,2000,100,0.0005,42,1,8,3.561647,1575
2026-09-17T15:01:15-03:00,sequencial,grande,4000,2000,100,0.0005,42,1,9,3.574995,1575
2026-09-17T15:01:19-03:00,sequencial,grande,4000,2000,100,0.0005,42,1,10,3.566813,1575
2026-09-17T15:01:23-03:00,paralelizado,grande,4000,2000,100,0.0005,42,1,1,3.542693,1575
2026-09-17T15:01:26-03:00,paralelizado,grande,4000,2000,100,0.0005,42,1,2,3.563767,1575
2026-09-17T15:01:30-03:00,paralelizado,grande,4000,2000,100,0.0005,42,1,3,3.545182,1575
2026-09-17T15:01:33-03:00,paralelizado,grande,4000,2000,100,0.0005,42,1,4,3.541826,1575
2026-09-17T15:01:37-03:00,paralelizado,grande,4000,2000,100,0.0005,42,1,5,3.549086,1575
2026-09-17T15:01:40-03:00,paralelizado,grande,4000,2000,100,0.0005,42,1,6,3.551759,1575
2026-09-17T15:01:44-03:00,paralelizado,grande,4000,2000,100,0.0005,42,1,7,3.544586,1575
2026-09-17T15:01:47-03:00,paralelizado,grande,4000,2000,100,0.0005,42,1,8,3.545481,1575
2026-09-17T15:01:51-03:00,paralelizado,grande,4000,2000,100,0.0005,42,1,9,3.552638,1575
2026-09-17T15:01:55-03:00,paralelizado,grande,4000,2000,100,0.0005,42,1,10,3.559433,1575
2026-09-17T15:01:56-03:00,paralelizado,grande,4000,2000,100,0.0005,42,2,1,1.812322,1575
2026-09-17T15:01:58-03:00,paralelizado,grande,4000,2000,100,0.0005,42,2,2,1.800861,1575
2026-09-17T15:02:00-03:00,paralelizado,grande,4000,2000,100,0.0005,42,2,3,1.814633,1575
2026-09-17T15:02:02-03:00,paralelizado,grande,4000,2000,100,0.0005,42,2,4,1.800507,1575
2026-09-17T15:02:04-03:00,paralelizado,grande,4000,2000,100,0.0005,42,2,5,1.797182,1575
2026-09-17T15:02:06-03:00,paralelizado,grande,4000,2000,100,0.0005,42,2,6,1.820560,1575
2026-09-17T15:02:07-03:00,paralelizado,grande,4000,2000,100,0.0005,42,2,7,1.796330,1575
2026-09-17T15:02:09-03:00,paralelizado,grande,4000,2000,100,0.0005,42,2,8,1.811415,1575
2026-09-17T15:02:11-03:00,paralelizado,grande,4000,2000,100,0.0005,42,2,9,1.803795,1575
